@relation 'TrainingData_g1-15-weka.filters.unsupervised.attribute.Remove-V-R8,10,25,29,31,35,39,53'

@attribute light_livingroom {off,on}
@attribute light_bathroom {off,on}
@attribute current_lamp_bedroom {off,standby,on}
@attribute current_speaker_bedroom {off,standby,on}
@attribute current_fridge_kitchen {off,standby,on}
@attribute current_washMachine_balcony {off,standby,on}
@attribute camera_bedroom {off,on}
@attribute class {OtherActivity,g1-15}

@data
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
on,off,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,off,off,off,standby,on,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,on,off,off,standby,off,off,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
off,off,off,off,standby,off,on,OtherActivity
