@relation 'TrainingData_g2-14-weka.filters.unsupervised.attribute.Remove-V-R7-10,12,25,31,53'

@attribute light_hallway {off,on}
@attribute light_livingroom {off,on}
@attribute light_bedroom {off,on}
@attribute light_bathroom {off,on}
@attribute light_balcony {off,on}
@attribute current_lamp_bedroom {off,standby,on}
@attribute current_fridge_kitchen {off,standby,on}
@attribute class {OtherActivity,g2-14}

@data
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,on,off,off,off,off,standby,OtherActivity
off,off,off,off,off,off,standby,OtherActivity
off,off,off,off,off,off,standby,OtherActivity
off,off,off,off,off,off,standby,OtherActivity
off,off,off,off,off,off,standby,OtherActivity
off,off,off,off,off,off,standby,OtherActivity
off,off,off,off,off,off,standby,OtherActivity
off,off,off,off,off,off,standby,OtherActivity
off,off,off,off,off,off,standby,OtherActivity
on,off,off,off,off,off,standby,OtherActivity
on,off,off,off,off,off,standby,OtherActivity
on,off,off,off,off,off,standby,OtherActivity
on,off,off,off,off,off,standby,OtherActivity
on,off,off,off,off,off,standby,OtherActivity
on,off,off,off,off,off,standby,OtherActivity
on,off,off,off,off,off,standby,OtherActivity
on,off,off,off,off,off,standby,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
off,off,off,off,off,off,on,OtherActivity
